               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.039628,            0.017355,           0.0029813,              0.8646,             0.22222,             0.21024,             0.10971,            0.054012,            0.012529,            0.033849,             0.00682,             0.00682,             0.00682
                 108,            0.046868,            0.018238,           0.0041152,              0.8646,             0.22222,             0.21024,             0.10971,            0.054012,            0.012529,            0.033849,             0.00679,             0.00679,             0.00679
                 109,              0.0435,             0.01998,           0.0037738,             0.95721,             0.18519,             0.22257,             0.12453,             0.05406,            0.012706,             0.03162,             0.00676,             0.00676,             0.00676
                 110,            0.044696,            0.018461,           0.0044353,             0.89456,             0.11111,              0.1488,            0.065711,            0.056947,            0.012693,            0.030497,             0.00673,             0.00673,             0.00673
                 111,            0.049996,            0.017127,           0.0048733,             0.91556,             0.22222,             0.21466,             0.11257,            0.053009,            0.013127,            0.029656,              0.0067,              0.0067,              0.0067
                 112,            0.043602,            0.019908,            0.003576,             0.91556,             0.22222,             0.21466,             0.11257,            0.053009,            0.013127,            0.029656,             0.00667,             0.00667,             0.00667
                 113,            0.043396,            0.017322,           0.0042245,             0.88505,             0.22222,             0.22665,              0.1172,             0.05117,            0.013359,             0.02928,             0.00664,             0.00664,             0.00664
                 114,            0.041843,            0.020126,           0.0048919,             0.87448,             0.22222,             0.20695,             0.12656,            0.056185,            0.013203,            0.028339,             0.00661,             0.00661,             0.00661
                 115,             0.04337,            0.016187,           0.0024091,             0.90897,             0.22222,             0.21361,            0.079217,            0.054823,            0.013215,            0.028234,             0.00658,             0.00658,             0.00658
                 116,            0.039421,            0.018154,           0.0038672,             0.90897,             0.22222,             0.21361,            0.079217,            0.054823,            0.013215,            0.028234,             0.00655,             0.00655,             0.00655
                 117,            0.039811,            0.019426,           0.0034222,              0.9226,             0.22222,             0.22276,            0.092958,            0.056265,             0.01299,            0.027664,             0.00652,             0.00652,             0.00652
                 118,            0.039143,             0.01981,           0.0031542,             0.91997,             0.22222,             0.21408,            0.095806,            0.059363,            0.012792,            0.027429,             0.00649,             0.00649,             0.00649
                 119,             0.04415,            0.015554,           0.0047858,             0.92499,             0.18519,             0.21466,            0.088043,            0.058327,            0.013369,            0.028073,             0.00646,             0.00646,             0.00646
                 120,             0.04234,            0.019018,            0.003386,             0.92499,             0.18519,             0.21466,            0.088043,            0.058327,            0.013369,            0.028073,             0.00643,             0.00643,             0.00643
                 121,             0.03828,            0.017582,           0.0027332,             0.91484,             0.21652,             0.21885,            0.098046,            0.060179,            0.013283,            0.028394,              0.0064,              0.0064,              0.0064
                 122,            0.038006,            0.017769,           0.0033478,             0.93163,             0.18519,              0.2127,            0.093882,            0.059411,            0.013297,            0.028553,             0.00637,             0.00637,             0.00637
                 123,            0.042393,            0.014687,             0.00518,             0.84081,             0.22222,             0.18278,             0.08425,            0.059257,            0.013839,             0.02943,             0.00634,             0.00634,             0.00634
                 124,            0.036648,            0.017677,           0.0049057,             0.84081,             0.22222,             0.18278,             0.08425,            0.059257,            0.013839,             0.02943,             0.00631,             0.00631,             0.00631
                 125,            0.037543,            0.020322,           0.0032895,             0.86433,             0.21638,             0.18052,            0.078402,            0.060763,            0.013337,            0.032249,             0.00628,             0.00628,             0.00628
                 126,            0.037151,            0.018741,           0.0038975,             0.88239,             0.22222,             0.19734,            0.094301,            0.064703,            0.012928,            0.033068,             0.00625,             0.00625,             0.00625
                 127,            0.042995,             0.01887,           0.0027907,             0.89171,             0.22222,             0.19184,            0.090466,            0.059047,            0.013324,            0.033787,             0.00622,             0.00622,             0.00622
                 128,            0.042132,            0.019234,            0.002915,             0.89171,             0.22222,             0.19184,            0.090466,            0.059047,            0.013324,            0.033787,             0.00619,             0.00619,             0.00619
                 129,             0.04005,            0.015359,           0.0046923,             0.89368,             0.18519,             0.16182,            0.083979,            0.058856,            0.013537,            0.031069,             0.00616,             0.00616,             0.00616
                 130,            0.036231,            0.016295,           0.0026085,             0.88037,             0.18519,             0.16632,             0.07648,            0.058322,            0.013751,              0.0312,             0.00613,             0.00613,             0.00613
                 131,            0.037383,            0.016503,           0.0030582,             0.90644,             0.22222,             0.22359,            0.095514,            0.054082,            0.013814,            0.030512,              0.0061,              0.0061,              0.0061
                 132,            0.035627,            0.016544,           0.0032285,             0.90644,             0.22222,             0.22359,            0.095514,            0.054082,            0.013814,            0.030512,             0.00607,             0.00607,             0.00607
                 133,             0.03573,            0.018927,           0.0037918,             0.86555,             0.18519,             0.20327,            0.098841,            0.053089,            0.013755,            0.030338,             0.00604,             0.00604,             0.00604
                 134,            0.035653,            0.015782,           0.0019399,             0.88787,             0.18519,             0.20282,             0.10639,             0.05831,            0.013477,            0.029515,             0.00601,             0.00601,             0.00601
                 135,            0.038747,             0.01517,           0.0026548,              0.9341,             0.22222,             0.23459,             0.10929,            0.062199,            0.013134,            0.029062,             0.00598,             0.00598,             0.00598
                 136,            0.039805,            0.018612,           0.0031298,              0.9341,             0.22222,             0.23459,             0.10929,            0.062199,            0.013134,            0.029062,             0.00595,             0.00595,             0.00595
                 137,            0.035449,            0.015227,            0.002411,             0.90958,             0.22222,             0.19064,            0.083976,            0.064342,            0.013072,            0.027879,             0.00592,             0.00592,             0.00592
                 138,            0.040692,             0.01871,            0.002397,             0.86343,             0.18519,             0.18419,            0.076727,            0.063494,            0.013137,            0.027306,             0.00589,             0.00589,             0.00589
                 139,            0.041579,            0.014533,            0.003462,             0.88838,             0.18519,             0.18939,            0.088628,            0.066196,            0.012881,            0.026124,             0.00586,             0.00586,             0.00586
                 140,            0.039289,            0.014777,           0.0046113,             0.88838,             0.18519,             0.18939,            0.088628,            0.066196,            0.012881,            0.026124,             0.00583,             0.00583,             0.00583
                 141,            0.041642,            0.017408,           0.0041075,             0.88101,             0.18519,              0.1914,            0.091467,            0.063608,            0.013033,             0.02556,              0.0058,              0.0058,              0.0058
                 142,            0.035055,            0.016105,            0.002625,             0.87126,             0.18519,             0.19481,            0.085995,            0.061904,            0.013084,            0.024182,             0.00577,             0.00577,             0.00577
                 143,            0.038212,            0.016332,           0.0027149,             0.89884,             0.22222,             0.21279,            0.096446,            0.058449,            0.013283,            0.024002,             0.00574,             0.00574,             0.00574
                 144,            0.037993,            0.015366,           0.0019877,             0.89884,             0.22222,             0.21279,            0.096446,            0.058449,            0.013283,            0.024002,             0.00571,             0.00571,             0.00571
                 145,            0.036279,            0.019636,           0.0030021,             0.88055,             0.22222,             0.22489,             0.10324,             0.05609,            0.013371,            0.024279,             0.00568,             0.00568,             0.00568
                 146,            0.036916,            0.017851,           0.0025165,             0.86153,             0.14815,             0.18423,            0.089007,             0.05415,            0.013468,            0.028238,             0.00565,             0.00565,             0.00565
                 147,             0.03691,            0.016836,           0.0047783,             0.82588,             0.14815,             0.16371,            0.065438,            0.055162,            0.013915,            0.029497,             0.00562,             0.00562,             0.00562
                 148,             0.04094,            0.014992,           0.0039028,             0.82588,             0.14815,             0.16371,            0.065438,            0.055162,            0.013915,            0.029497,             0.00559,             0.00559,             0.00559
